Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20150331,-0.0008,-1.12537,-1.24526,1.68733,1.7953,0.52819,0.31904,-0.54728,-2.2442,-1.42814,1.15022
20150430,0.0029,0.53961,0.70987,-2.13586,-2.94179,-0.09054,-0.70022,1.20664,-0.38844,4.16337,-4.71024
20150529,-0.0005,1.29589,1.30827,0.82885,3.67408,0.05041,-0.65276,0.30355,0.85305,-0.39705,-0.11406
20150630,0.0004,-1.75356,-1.87598,0.13062,1.34428,-0.38942,-1.8379,-1.4886,-2.1248,-2.80483,-4.31854
20150731,-0.0037,1.73809,1.92751,-2.75841,0.40828,0.40268,0.67492,-0.5823,-6.58133,2.08071,4.85473
20150831,0.0027,-5.94702,-6.01531,-4.91095,-7.57807,0.05534,-0.59184,-1.74202,2.8976,-7.34573,-5.67649
20150930,-0.0006,-2.71437,-2.74077,-3.46169,-6.31564,0.74514,0.74534,-2.6021,-1.4124,-5.04158,1.87483
20151030,-0.0027,8.00727,8.09085,5.59894,5.6723,-0.31791,0.41809,2.74911,2.86285,7.8231,6.14279
20151130,0.002,0.45929,0.33034,2.84277,3.66451,-0.32972,-0.2188,-2.22285,-7.06087,-1.54386,-0.2581
20151231,0.0103,-1.9719,-1.79904,-5.27142,-4.76988,-0.19043,-0.77966,-2.51862,-0.62013,-1.32901,1.19422
20160129,0.0037,-5.45635,-5.38242,-6.71796,-10.83494,1.58746,0.35465,-1.6071,5.06986,-7.22202,-3.47885
20160229,0.0205,-0.0518,-0.03431,0.68203,-0.7069,0.49421,0.8075,0.57157,9.96972,-1.79726,-0.2874
20160331,0.019,7.06616,6.96608,8.28859,7.66057,0.18925,2.77391,4.44433,0.39706,6.59403,9.98888
20160429,0.0051,0.64617,0.54382,2.11812,0.99717,-0.02846,1.36921,3.91508,5.55139,3.00458,-1.66493
20160531,0.0115,1.80178,1.75118,1.83319,2.69411,-0.14262,-0.07736,0.61749,-6.31205,-0.78361,2.33868
20160630,0.0188,0.31124,0.22645,0.30401,-0.46004,1.417,2.25099,0.92034,9.31785,-3.31511,6.68421
20160729,0.0171,3.92834,3.80945,5.39533,6.53883,0.03689,1.46125,2.7039,3.05973,5.07617,3.87193
